plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4_1_MINI')",0.3525174915326477,0.4,0.7
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4_1_NANO')",0.4406790890269151,1.0,0.7
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4o')",0.4525915748016035,0.5,0.7
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4o_MINI')",0.5724982540712585,0.6666666666666666,0.7
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_5')",0.4061909854851031,0.75,0.5
"('GPT_4o', 'GPT_4_1', 'GPT_4_1')",0.721090387374462,1.0,0.7
"('GPT_4o', 'GPT_4_1', 'GPT_4_1_NANO')",0.6155789936277741,1.0,0.7
"('GPT_4o', 'GPT_4_1', 'GPT_4o')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_4_1', 'GPT_4o_MINI')",0.697560975609756,1.0,0.6
"('GPT_4o', 'GPT_4_1', 'GPT_5')",0.663470066518847,1.0,0.7
"('GPT_4o', 'GPT_4_1', 'GPT_5_NANO')",0.7202882483370289,1.0,0.7
"('GPT_4o', 'GPT_4_1_MINI', 'GPT_4_1')",0.6498083360924107,1.0,0.8
"('GPT_4o', 'GPT_4_1_MINI', 'GPT_5')",0.6759647314783007,1.0,0.6
"('GPT_4o', 'GPT_4_1_MINI', 'o4_MINI')",0.697560975609756,1.0,0.7
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_4_1_MINI')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_4o')",0.6759647314783007,1.0,0.7
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_5')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.697560975609756,1.0,0.7
"('GPT_4o', 'GPT_4_1_NANO', 'o4_MINI')",0.697560975609756,0.5,0.7
"('GPT_4o', 'GPT_4o', 'GPT_4_1')",0.697560975609756,0.5,0.6
"('GPT_4o', 'GPT_4o', 'GPT_4_1_MINI')",0.697560975609756,0.5,0.6
"('GPT_4o', 'GPT_4o', 'GPT_4o')",0.6759647314783007,1.0,0.6
"('GPT_4o', 'GPT_4o', 'GPT_5')",0.697560975609756,0.5,0.6
"('GPT_4o', 'GPT_4o', 'GPT_5_MINI')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_4o_MINI', 'GPT_4_1')",0.6986920042055734,0.6666666666666666,0.7
"('GPT_4o', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.6759647314783007,0.5,0.7
"('GPT_4o', 'GPT_4o_MINI', 'GPT_5')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_4o_MINI', 'GPT_5_MINI')",0.7240315638450502,0.6666666666666666,0.7
"('GPT_4o', 'GPT_4o_MINI', 'GPT_5_NANO')",0.6759647314783007,0.5,0.6
"('GPT_4o', 'GPT_4o_MINI', 'o4_MINI')",0.7009647314783007,0.6666666666666666,0.6
"('GPT_4o', 'GPT_5', 'GPT_4_1_MINI')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_5', 'GPT_4o_MINI')",0.6225609756097561,1.0,0.6
"('GPT_4o', 'GPT_5', 'GPT_5')",0.697560975609756,1.0,0.6
"('GPT_4o', 'GPT_5', 'GPT_5_MINI')",0.7184564979978159,1.0,0.7
"('GPT_4o', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.7214415726246814,0.6666666666666666,0.7
"('GPT_4o', 'GPT_5_MINI', 'GPT_4_1_NANO')",0.697560975609756,0.5,0.6
"('GPT_4o', 'GPT_5_MINI', 'GPT_4o')",0.7487826950667696,0.75,0.8
"('GPT_4o', 'GPT_5_MINI', 'GPT_4o_MINI')",0.6411744209879073,0.3333333333333333,0.6
"('GPT_4o', 'GPT_5_MINI', 'GPT_5')",0.697560975609756,1.0,0.6
"('GPT_4o', 'GPT_5_MINI', 'GPT_5_NANO')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_5_MINI', 'o4_MINI')",0.6225609756097561,1.0,0.6
"('GPT_4o', 'GPT_5_NANO', 'GPT_4o')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'GPT_5_NANO', 'GPT_4o_MINI')",0.6258628624022089,0.5,0.6
"('GPT_4o', 'GPT_5_NANO', 'GPT_5_NANO')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'o4_MINI', 'GPT_4_1')",0.7206378986866792,0.6666666666666666,0.7
"('GPT_4o', 'o4_MINI', 'GPT_4_1_NANO')",0.7007266362402055,0.6666666666666666,0.7
"('GPT_4o', 'o4_MINI', 'GPT_4o_MINI')",0.5975609756097561,1.0,0.6
"('GPT_4o', 'o4_MINI', 'GPT_5')",0.6759647314783007,0.5,0.6
"('GPT_4o', 'o4_MINI', 'GPT_5_MINI')",0.7052330241612276,0.6666666666666666,0.6
"('GPT_4o', 'o4_MINI', 'GPT_5_NANO')",0.721090387374462,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_4_1', 'GPT_4_1')",0.6377141006961308,1.0,0.6
"('GPT_4o_MINI', 'GPT_4_1', 'GPT_5')",0.7043103448275863,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1', 'GPT_5_NANO')",0.6827141006961308,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4_1')",0.6593103448275862,1.0,0.6
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4_1_MINI')",0.7054641909814323,1.0,0.8
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4_1_NANO')",0.6377141006961308,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4o')",0.5880282935455349,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4o_MINI')",0.6593103448275862,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_5')",0.5593103448275862,1.0,0.6
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.6657170476061132,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_5_NANO')",0.6434108527131783,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_NANO', 'GPT_4_1')",0.7032127838519765,1.0,0.8
"('GPT_4o_MINI', 'GPT_4_1_NANO', 'GPT_4_1_NANO')",0.5434108527131782,1.0,0.6
"('GPT_4o_MINI', 'GPT_4_1_NANO', 'GPT_4o')",0.6884108527131783,1.0,0.8
"('GPT_4o_MINI', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.5593103448275862,1.0,0.6
"('GPT_4o_MINI', 'GPT_4_1_NANO', 'o4_MINI')",0.5880282935455349,1.0,0.7
"('GPT_4o_MINI', 'GPT_4o', 'GPT_4_1')",0.7032127838519765,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_4o', 'GPT_5_NANO')",0.7043103448275863,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_4o', 'o4_MINI')",0.6561731568123494,1.0,0.9
"('GPT_4o_MINI', 'GPT_4o_MINI', 'GPT_4_1')",0.6319307325699252,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.6593103448275862,0.5,0.6
"('GPT_4o_MINI', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.6377141006961308,0.5,0.6
"('GPT_4o_MINI', 'GPT_4o_MINI', 'GPT_5_NANO')",0.6032127838519765,0.5,0.6
"('GPT_4o_MINI', 'GPT_4o_MINI', 'o4_MINI')",0.7032127838519765,0.3333333333333333,0.6
"('GPT_4o_MINI', 'GPT_5', 'GPT_4_1')",0.6398801453973868,1.0,0.8
"('GPT_4o_MINI', 'GPT_5', 'GPT_4o_MINI')",0.6162376337573188,1.0,0.7
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_4_1')",0.6330282935455349,1.0,0.8
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_4o')",0.6567906697831587,1.0,0.8
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_5')",0.6218146085817229,0.5,0.6
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_5_NANO')",0.5880282935455349,1.0,0.7
"('GPT_4o_MINI', 'GPT_5_NANO', 'GPT_4_1')",0.6583804062215912,1.0,0.7
