plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1', 'GPT_4_1_NANO', 'GPT_4_1')",0.2573380051259487,1.0,0.7
"('GPT_4_1', 'GPT_5_MINI', 'GPT_5')",0.2600519897836461,0.875,0.6
"('GPT_4_1', 'GPT_5', 'GPT_5')",0.2516958395810104,1.0,0.6
"('GPT_4o', 'GPT_5_MINI', 'o4_MINI')",0.6225609756097561,1.0,0.6
"('GPT_4o', 'GPT_4_1_MINI', 'GPT_5')",0.6759647314783007,1.0,0.6
"('GPT_5_NANO', 'GPT_4_1', 'GPT_5')",0.537024445523717,1.0,0.5
"('GPT_5', 'o4_MINI', 'o4_MINI')",0.5387945853144429,0.5,0.6
"('GPT_4o', 'GPT_4o', 'GPT_4_1_MINI')",0.697560975609756,0.5,0.6
"('GPT_5', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.5731344330371912,0.8,0.7
"('GPT_5', 'GPT_4_1', 'GPT_5')",0.578033573598921,1.0,0.7
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4_1_NANO')",0.4406790890269151,1.0,0.7
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'GPT_4o_MINI')",0.5061909854851031,0.3333333333333333,0.6
"('o4_MINI', 'GPT_4o', 'GPT_4_1')",0.6388267165936201,1.0,0.6
"('GPT_4_1_MINI', 'GPT_4_1_MINI', 'GPT_5_NANO')",0.4547756961854568,1.0,0.6
"('GPT_5', 'GPT_4o_MINI', 'GPT_4o')",0.6111457636033898,0.8,0.7
"('GPT_5_MINI', 'GPT_5', 'GPT_5')",0.5355767264241709,0.8,0.8
"('GPT_5_MINI', 'GPT_5_MINI', 'GPT_4o')",0.5366904578962075,0.6,0.5
"('GPT_4o', 'o4_MINI', 'GPT_5_MINI')",0.7052330241612276,0.6666666666666666,0.6
"('GPT_4_1', 'o4_MINI', 'GPT_4_1_NANO')",0.2553406673606994,1.0,0.6
"('GPT_5_MINI', 'GPT_5_NANO', 'GPT_4_1_NANO')",0.603729880256196,0.8,0.6
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_4_1')",0.6330282935455349,1.0,0.8
"('GPT_5', 'GPT_5_NANO', 'o4_MINI')",0.5360713408088568,0.75,0.6
"('GPT_5_NANO', 'GPT_5_MINI', 'GPT_5')",0.6615539893208928,1.0,0.7
"('GPT_4_1', 'GPT_4_1', 'GPT_4o_MINI')",0.2578145568775484,1.0,0.6
"('GPT_5', 'o4_MINI', 'GPT_5_MINI')",0.567574564245419,0.6,0.8
"('GPT_5_NANO', 'o4_MINI', 'GPT_4o')",0.6388267165936201,0.5,0.6
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_4o')",0.447660247288366,0.3333333333333333,0.6
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4_1_NANO')",0.512307884081469,0.75,0.6
"('GPT_5_NANO', 'GPT_5', 'GPT_4o_MINI')",0.5406240992449997,1.0,0.6
"('GPT_4o_MINI', 'GPT_5_NANO', 'GPT_5')",0.6434108527131783,1.0,0.6
"('GPT_4o', 'GPT_5_NANO', 'GPT_4o')",0.5975609756097561,1.0,0.6
